\;who;text;Новый вариант;;;;;;;;;;;;;;;;;;;;;
0;ID_6_m_o_ROUND_1_SUICIDE_TEXT;Отойди сынок. Не мешай мне отдать долг.;Отойди, сынок. Не мешай мне отдать долг.;;;;;;;;;;;;;;;;;;;;;
1;ID_6_ROUND_1_GG_ANSWER_RESULT = next;Какой долг?;О чем вы?;;;;;;;;;;;;;;;;;;;;;
2;ID_6_ROUND_1_GG_ANSWER_RESULT = suicide;Слишком дорогой долг, ты не находишь?;Долг ценою в жизнь? Это неправильно.;;;;;;;;;;;;;;;;;;;;;
3;ID_6_ROUND_1_GG_ANSWER_RESULT = next;Так долги не отдаются.;Что за долг может стоить целой жизни?;;;;;;;;;;;;;;;;;;;;;
4;ID_6_m_o_ROUND_1_SUICIDE_ON_DIE;Я заплачу любую цену!;Моя жизнь ничего не стоит.;;;;;;;;;;;;;;;;;;;;;
5;ID_6_m_o_ROUND_2_SUICIDE_TEXT;Весь мой взвод умер. А я нет. Я не могу больше ждать. Уже 50 лет не могу умереть. Я думал, что доживу только до 30.;Весь мой взвод мертв, а я выжил по чистой случайности... Контузило, и я отрубился, пока моих ребят вырезали... Целых пятьдесят лет я виню себя в этом.;;;;;;;;;;;;;;;;;;;;;
6;ID_6_ROUND_2_GG_ANSWER_RESULT = suicide;Вы служили?;Пятьдесят лет? Вам нужно отпустить прошлое.;;;;;;;;;;;;;;;;;;;;;
7;ID_6_ROUND_2_GG_ANSWER_RESULT = next;Они бы вам этого не простили.;Ваши товарищи хотели бы, чтобы вы продолжали жить.;;;;;;;;;;;;;;;;;;;;;
8;ID_6_ROUND_2_GG_ANSWER_RESULT = next;Вы же почетный гражданин, что вы делаете?;Вы же прошли через настоящий ад. На войне всегда есть жертвы.;;;;;;;;;;;;;;;;;;;;;
9;ID_6_m_o_ROUND_2_SUICIDE_ON_DIE;Служил...Служил хорошо...;Для меня уже нет будущего...;;;;;;;;;;;;;;;;;;;;;
10;ID_6_m_o_ROUND_3_SUICIDE_TEXT;Уже ничего не важно. Я помню только боль и кровь. Я пуст, цельнометаллическая оболочка без содержимого.;Это уже не имеет значения. В моей жизни только боль и страдания. Я не живу, а просто существую.;;;;;;;;;;;;;;;;;;;;;
11;ID_6_ROUND_3_GG_ANSWER_RESULT = next;А как же семья! У вас же есть семья?;А как же семья? Есть кто-то, кто может о вас позаботиться?;;;;;;;;;;;;;;;;;;;;;
12;ID_6_ROUND_3_GG_ANSWER_RESULT = next;Покажите остатки вашей чести!;Не отчаивайтесь, все изменится!;;;;;;;;;;;;;;;;;;;;;
13;ID_6_ROUND_3_GG_ANSWER_RESULT = suicide;Убийца.;Вы не должны себя винить. Вы просто исполняли приказы.;;;;;;;;;;;;;;;;;;;;;
14;ID_6_m_o_ROUND_3_SUICIDE_ON_DIE;И я заплачу за это;Но в тот раз я не справился. И теперь я отвечу за это.;;;;;;;;;;;;;;;;;;;;;
15;ID_6_m_o_ROUND_4_SUICIDE_TEXT;Нет нет нет нет нет нет.;Прошу вас, оставьте меня одного.;;;;;;;;;;;;;;;;;;;;;
16;ID_6_ROUND_4_GG_ANSWER_RESULT = next;Эй. Вы все-таки герой!;Я понимаю, что вы чувствуете...;;;;;;;;;;;;;;;;;;;;;
17;ID_6_ROUND_4_GG_ANSWER_RESULT = next;Вам нужно с кем-то поговорить. ;Вам просто нужно выговориться. ;;;;;;;;;;;;;;;;;;;;;
18;ID_6_ROUND_4_GG_ANSWER_RESULT = suicide;Это недостойное поведение!;Вы же герой. Вы должны показывать всем пример.;;;;;;;;;;;;;;;;;;;;;
19;ID_6_m_o_ROUND_4_SUICIDE_ON_DIE;...;Я все решил для себя.;;;;;;;;;;;;;;;;;;;;;
20;ID_6_m_o_ROUND_5_SUICIDE_TEXT;Так тяжело... Майкл, Билл, Вагнер... Только я остался... Хочу лежать с ними...;Невымосимо держать это в себе... Рядовые Джонсон и Рид, сержант Миллер, все погибли. Только я остался.;;;;;;;;;;;;;;;;;;;;;
21;ID_6_ROUND_5_GG_ANSWER_RESULT = save;Они живут в вашем сердце, не предавайте их.;Они живы, пока вы храните о них память. Не предавайте своих друзей.;;;;;;;;;;;;;;;;;;;;;
22;ID_6_ROUND_5_GG_ANSWER_RESULT = save;Пойдемте, расскажете мне пару военных историй?;Может, пропустим по стаканчику? Расскажете мне свою историю.;;;;;;;;;;;;;;;;;;;;;
23;ID_6_ROUND_5_GG_ANSWER_RESULT = suicide;Кто это?;Вы не один, многие потеряли товарищей на войне.;;;;;;;;;;;;;;;;;;;;;
24;ID_6_m_o_ROUND_5_SUICIDE_ON_DIE;Иду к вам, братья...;Скоро встретимся, друзья.;;;;;;;;;;;;;;;;;;;;;
25;ID_6_m_o_ROUND_5SUICIDE_ON_GO_HOME;Наверное... Спасибо....;Хорошо. Спасибо за поддержку.;;;;;;;;;;;;;;;;;;;;;
26;ID_5_m_ROUND_1_SUICIDE_TEXT;Хахаха.;Ха-ха-ха!;;;;;;;;;;;;;;;;;;;;;
27;ID_5_ROUND_1_GG_ANSWER_RESULT = next;Все в порядке?;С тобой все в порядке?;;;;;;;;;;;;;;;;;;;;;
28;ID_5_ROUND_1_GG_ANSWER_RESULT = next;Еще один ненормальный.;Почему ты смеешься?;;;;;;;;;;;;;;;;;;;;;
29;ID_5_ROUND_1_GG_ANSWER_RESULT = suicide;Хочешь это обсудить?;Поговорим?;;;;;;;;;;;;;;;;;;;;;
30;ID_5_m_ROUND_1_SUICIDE_ON_DIE;Хахаха.;Ха-ха-ха.;;;;;;;;;;;;;;;;;;;;;
31;ID_5_m_ROUND_2_SUICIDE_TEXT;Ты даже не можешь себе представить, с кем разговариваешь!!!;Ты даже не представляешь, с кем сейчас разговариваешь.;;;;;;;;;;;;;;;;;;;;;
32;ID_5_ROUND_2_GG_ANSWER_RESULT = next;Папа?;И с кем же?;;;;;;;;;;;;;;;;;;;;;
33;ID_5_ROUND_2_GG_ANSWER_RESULT = suicide;Расскажи мне, кто ты?;Может, расскажешь мне?;;;;;;;;;;;;;;;;;;;;;
34;ID_5_ROUND_2_GG_ANSWER_RESULT = next;Кажется я видел тебя в газете...;Я где-то видел твое лицо... Кажется, в новостях.;;;;;;;;;;;;;;;;;;;;;
35;ID_5_m_ROUND_2_SUICIDE_ON_DIE;Нет;Нет.;;;;;;;;;;;;;;;;;;;;;
36;ID_5_m_ROUND_3_SUICIDE_TEXT;ХАХАХАХ Меня зовут мясник. Меня ищут в 20 штатах.;Меня зовут Мясник. Ха-ха-ха. Копы двадцати штатов разыскивают меня!;;;;;;;;;;;;;;;;;;;;;
37;ID_5_ROUND_3_GG_ANSWER_RESULT = next;За что же тебя ищут?;За что тебя ищут?;;;;;;;;;;;;;;;;;;;;;
38;ID_5_ROUND_3_GG_ANSWER_RESULT = suicide;Все можно пережить или понести наказание.;Если ты совершил что-то, то лучше сдаться полиции и понести наказание.;;;;;;;;;;;;;;;;;;;;;
39;ID_5_ROUND_3_GG_ANSWER_RESULT = next;Мясник?;Что за странная кличка — Мясник?;;;;;;;;;;;;;;;;;;;;;
40;ID_5_m_ROUND_3_SUICIDE_ON_DIE;Я выбрал свое наказание.;Я уже выбрал свое.;;;;;;;;;;;;;;;;;;;;;
41;ID_5_m_ROUND_4_SUICIDE_TEXT;Я убил и ограбил около 40 людей уже и не помню. Ну как хочешь еще со мной болтать?;Ха-ха-ха. Я убиваю людей. Уже убил около сорока. Ну как, тебе все еще хочется со мной поболтать?;;;;;;;;;;;;;;;;;;;;;
42;ID_5_ROUND_4_GG_ANSWER_RESULT = suicide;(вызвать полицию);(вызвать полицию);;;;;;;;;;;;;;;;;;;;;
43;ID_5_ROUND_4_GG_ANSWER_RESULT = next;И ты сожалеешь, я надеюсь?;Ты хоть раскаиваешься в своих преступлениях?;;;;;;;;;;;;;;;;;;;;;
44;ID_5_ROUND_4_GG_ANSWER_RESULT = next;(промолчать);...;;;;;;;;;;;;;;;;;;;;;
45;ID_5_m_ROUND_4_SUICIDE_ON_DIE;НИ О ЧЕМ НЕ ЖАЛЕЮ;Ну нет! Мы будем играть по моим правилам.;;;;;;;;;;;;;;;;;;;;;
46;ID_5_m_ROUND_5_SUICIDE_TEXT;Я вижу их лица по ночам. Я не могу так больше...;Я вижу их, лица своих жертв. Каждую ночь они приходят мучать меня. Это ад. Я так больше не могу.;;;;;;;;;;;;;;;;;;;;;
47;ID_5_ROUND_5_GG_ANSWER_RESULT = save;Видишь, ты не такой уж плохой...;Если ты раскаиваешься в том, что совершил, то, возможно, пора перестать убегать?;;;;;;;;;;;;;;;;;;;;;
48;ID_5_ROUND_5_GG_ANSWER_RESULT = suicide;По заслугам.;И теперь мне нужно пожалеть тебя?;;;;;;;;;;;;;;;;;;;;;
49;ID_5_ROUND_5_GG_ANSWER_RESULT = save;Иди еще искупление где-то еще!;Ты думаешь, что так ты сможешь искупить вину? Ты должен сдаться властям.;;;;;;;;;;;;;;;;;;;;;
50;ID_5_m_ROUND_5_SUICIDE_ON_DIE;Прощай....;Я прямо сейчас остановлю это.;;;;;;;;;;;;;;;;;;;;;
51;ID_5_m_ROUND_5SUICIDE_ON_GO_HOME;Я так устал...;Ты прав. Я устал скрываться. Пусть копы решат, что со мной делать дальше.;;;;;;;;;;;;;;;;;;;;;
